Año,Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevas Inscriptas Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres,
2011,Universidad                                       ,Universidad Católica de Santiago del Estero,Departamento Académico Rafaela,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,1,1,,
2011,Universidad                                       ,Universidad Católica de Santiago del Estero,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,2,2,,
2011,Universidad                                       ,Universidad Nacional de Luján,Rectorado,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,,,,,,,,,,2,2,,
2011,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,92,64,28,30,20,10,62,44,18,,,,
2011,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO GALLEGOS,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,119,81,38,32,23,9,87,58,29,,,,
2011,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO TURBIO,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,34,25,9,18,15,3,16,10,6,,,,
2011,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Córdoba,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,1,,1,,,,1,,1,,,,
2011,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rosario,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,2,1,1,,,,2,1,1,1,1,,
2011,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Santa Fé,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,1,,1,,,,1,,1,,,,
2011,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Tucumán,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,7,5,2,,,,7,5,2,,,,
2011,Universidad                                       ,Universidad de Mendoza,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,2,2,,,,,2,2,,,,,
2011,Universidad                                       ,Universidad de Morón,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales","Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,2,,2,
2011,Universidad                                       ,Universidad de la Marina Mercante,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,3,3,,
2011,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ciencias de la Administración,"Computación, Sistemas e Informática",Analista de Sistemas - MD,Estatal                                           ,Pregrado            ,,,,,,,,,,38,29,9,
2011,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,,,,,,,,,,1,,1,
2011,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ingeniería,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Estatal                                           ,Pregrado            ,,,,,,,,,,2,1,1,
2012,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería Fray Rogelio Bacon,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,5,4,1,
2012,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,97,90,7,
2012,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática - Rosario,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,49,39,10,
2012,Universidad                                       ,Universidad Argentina John F. Kennedy,Escuela de Sistemas,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,42,31,11,
2012,Universidad                                       ,Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,2,1,1,
2012,Universidad                                       ,Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,3,3,,
2012,Universidad                                       ,Universidad Autónoma de Entre Ríos,Facultad de Ciencia y Tecnología,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,380,331,49,167,148,19,213,183,30,42,33,9,
2012,Universidad                                       ,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,1,,1,
2012,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,77,55,22,24,18,6,53,37,16,2,1,1,
2012,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO GALLEGOS,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,112,72,40,31,21,10,81,51,30,1,,1,
2012,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO TURBIO,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,31,26,5,12,11,1,19,15,4,1,1,,
2012,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rosario,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,2,1,1,,,,2,1,1,,,,
2012,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Tucumán,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,2,1,1,,,,2,1,1,1,1,,
2012,Universidad                                       ,Universidad de Mendoza,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,2,2,,,,,2,2,,1,1,,
2012,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ciencias de la Administración,"Computación, Sistemas e Informática",Analista de Sistemas - MD,Estatal                                           ,Pregrado            ,,,,,,,,,,26,19,7,
2012,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,,,,,,,,,,1,1,,
2013,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería Fray Rogelio Bacon,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,9,9,,
2013,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,109,93,16,
2013,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática - Rosario,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,43,36,7,
