,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,,3,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,12,Sede La Rioja,,,15,Universidad Nacional de La Rioja,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,38,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,79,Facultad Regional Buenos Aires,,,117,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,13,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,11,Facultad Regional Córdoba,,,24,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,,Facultad Regional Delta,,,2,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,4,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,18,Facultad Regional La Plata,,,22,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,7,Facultad Regional Mendoza,,,9,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,9,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,24,Facultad Regional Resistencia,,,33,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,12,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,23,Facultad Regional Rosario,,,35,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,1,Facultad Regional San Francisco,,,2,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,9,Facultad Regional Santa Fé,,,11,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,11,2010,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,12,Facultad Regional Tucumán,,,23,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,11,Facultad de Informática,,,12,Universidad Champagnat,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,29,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,113,Facultad Regional Buenos Aires,,,142,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,11,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,10,Facultad Regional Córdoba,,,21,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,1,Facultad Regional Delta,,,3,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,11,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,33,Facultad Regional La Plata,,,44,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,3,Facultad Regional Mendoza,,,4,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,6,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,10,Facultad Regional Resistencia,,,16,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,16,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,19,Facultad Regional Rosario,,,35,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,1,Facultad Regional San Francisco,,,3,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,3,Facultad Regional Santa Fé,,,5,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,7,Facultad Regional Tucumán,,,10,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,4,Facultad Regional Villa María,,,4,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,2,Facultad de Informática,,,4,Universidad Champagnat,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,7,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,15,Sede La Rioja,,,22,Universidad Nacional de La Rioja,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,11,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,76,Facultad Regional Buenos Aires,,,87,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,15,Facultad Regional Concepción del Uruguay,,,18,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,10,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,16,Facultad Regional Córdoba,,,26,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,3,Facultad Regional Delta,,,3,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,13,Facultad Regional La Plata,,,14,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,5,Facultad Regional Mendoza,,,8,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,7,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,10,Facultad Regional Resistencia,,,17,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,7,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,13,Facultad Regional Rosario,,,20,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,4,Facultad Regional Santa Fé,,,7,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,3,Facultad Regional Trenque Lauquen,,,4,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,5,2012,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,5,Facultad Regional Tucumán,,,10,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,4,Facultad de Informática,,,4,Universidad Champagnat,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,3,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,12,Facultad Regional Buenos Aires,,,15,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,5,Facultad Regional Concepción del Uruguay,,,8,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,8,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,9,Facultad Regional Córdoba,,,17,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,1,Facultad Regional Delta,,,2,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,9,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,17,Facultad Regional La Plata,,,26,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,3,Facultad Regional Mendoza,,,4,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,8,Facultad Regional Resistencia,,,10,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,6,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,17,Facultad Regional Rosario,,,23,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,2,Facultad Regional San Francisco,,,2,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,16,Facultad Regional Santa Fé,,,19,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,,Facultad Regional Trenque Lauquen,,,1,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,5,2013,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,12,Facultad Regional Tucumán,,,17,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,13,Facultad Regional Buenos Aires,,,16,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,5,Facultad Regional Concepción del Uruguay,,,5,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,11,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,12,Facultad Regional Córdoba,,,23,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,4,Facultad Regional Delta,,,4,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,4,Facultad Regional La Plata,,,5,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,4,Facultad Regional Mendoza,,,5,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,10,Facultad Regional Resistencia,,,10,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,8,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,10,Facultad Regional Rosario,,,18,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,,Facultad Regional San Francisco,,,1,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,6,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,12,Facultad Regional Santa Fé,,,18,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,7,2014,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,5,Facultad Regional Tucumán,,,12,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,37,,2015,"Computación, Sistemas e Informática",18,Analista Universitario de Sistemas Informáticos,,Escuela Superior de Comercio Manuel Belgrano,104,184,,Universidad Nacional de Córdoba,80,147,Pregrado            ,85,62,19,Estatal                                           ,Universidad                                       
,,4,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,14,Facultad Regional Buenos Aires,,,18,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,6,Facultad Regional Concepción del Uruguay,,,9,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,6,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,11,Facultad Regional Córdoba,,,17,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,1,Facultad Regional Delta,,,1,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,8,Facultad Regional La Plata,,,10,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,2,Facultad Regional Mendoza,,,2,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,8,Facultad Regional Resistencia,,,11,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,3,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,13,Facultad Regional Rosario,,,16,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,,Facultad Regional San Francisco,,,1,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,4,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,12,Facultad Regional Santa Fé,,,16,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,13,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,13,Facultad Regional Tucumán,,,26,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2015,"Computación, Sistemas e Informática",,Analista Universitario de Sistemas,2,Facultad Regional Villa María,,,2,Universidad Tecnológica Nacional,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,2,2010,"Computación, Sistemas e Informática",,Analista en Computación,22,"Facultad de Matemáticas, Astronomía y Física",,,24,Universidad Nacional de Córdoba,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,61,3,2010,"Computación, Sistemas e Informática",46,Analista en Computación,8,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",96,314,11,Universidad Nacional de Río Cuarto,218,253,Pregrado            ,81,172,15,Estatal                                           ,Universidad                                       
,108,2,2010,"Computación, Sistemas e Informática",59,Analista en Computación,11,Facultad de Economía y Administración,163,399,13,Universidad Nacional del Comahue,236,291,Pregrado            ,114,177,49,Estatal                                           ,Universidad                                       
,,5,2011,"Computación, Sistemas e Informática",,Analista en Computación,24,"Facultad de Matemáticas, Astronomía y Física",,,29,Universidad Nacional de Córdoba,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,6,6,2011,"Computación, Sistemas e Informática",6,Analista en Computación,14,Facultad de Informática,,20,20,Universidad Nacional de La Plata,20,14,Pregrado            ,,14,,Estatal                                           ,Universidad                                       
,53,3,2011,"Computación, Sistemas e Informática",43,Analista en Computación,15,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",79,309,18,Universidad Nacional de Río Cuarto,230,256,Pregrado            ,69,187,10,Estatal                                           ,Universidad                                       
,93,4,2011,"Computación, Sistemas e Informática",64,Analista en Computación,7,Facultad de Informática,138,396,11,Universidad Nacional del Comahue,258,303,Pregrado            ,109,194,29,Estatal                                           ,Universidad                                       
,,2,2012,"Computación, Sistemas e Informática",,Analista en Computación,25,"Facultad de Matemáticas, Astronomía y Física",,,27,Universidad Nacional de Córdoba,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,49,8,2012,"Computación, Sistemas e Informática",49,Analista en Computación,7,Facultad de Informática,,135,15,Universidad Nacional de La Plata,135,86,Grado               ,,86,,Estatal                                           ,Universidad                                       
,54,5,2012,"Computación, Sistemas e Informática",42,Analista en Computación,14,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",66,280,19,Universidad Nacional de Río Cuarto,214,226,Pregrado            ,54,172,12,Estatal                                           ,Universidad                                       
,79,3,2012,"Computación, Sistemas e Informática",50,Analista en Computación,20,Facultad de Informática,136,366,23,Universidad Nacional del Comahue,230,287,Pregrado            ,107,180,29,Estatal                                           ,Universidad                                       
,,6,2013,"Computación, Sistemas e Informática",,Analista en Computación,17,"Facultad de Matemáticas, Astronomía y Física",,,23,Universidad Nacional de Córdoba,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,44,20,2013,"Computación, Sistemas e Informática",44,Analista en Computación,34,Facultad de Informática,,150,54,Universidad Nacional de La Plata,150,106,Grado               ,,106,,Estatal                                           ,Universidad                                       
,48,1,2013,"Computación, Sistemas e Informática",37,Analista en Computación,15,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",66,257,16,Universidad Nacional de Río Cuarto,191,209,Pregrado            ,55,154,11,Estatal                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Analista en Computación,2,Secretaría Académica,,,2,Universidad Nacional de Tres de Febrero,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,70,3,2013,"Computación, Sistemas e Informática",51,Analista en Computación,11,Facultad de Informática,82,296,14,Universidad Nacional del Comahue,214,226,Pregrado            ,63,163,19,Estatal                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Analista en Computación,18,"Facultad de Matemáticas, Astronomía y Física",,,18,Universidad Nacional de Córdoba,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,9,5,2014,"Computación, Sistemas e Informática",9,Analista en Computación,9,Facultad de Informática,,34,14,Universidad Nacional de La Plata,34,25,Grado               ,,25,,Estatal                                           ,Universidad                                       
,45,4,2014,"Computación, Sistemas e Informática",39,Analista en Computación,17,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",69,265,21,Universidad Nacional de Río Cuarto,196,220,Pregrado            ,63,157,6,Estatal                                           ,Universidad                                       
,,1,2014,"Computación, Sistemas e Informática",,Analista en Computación,2,Secretaría Académica,,,3,Universidad Nacional de Tres de Febrero,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,48,3,2014,"Computación, Sistemas e Informática",48,Analista en Computación,9,Facultad de Informática,,196,12,Universidad Nacional del Comahue,196,148,Pregrado            ,,148,,Estatal                                           ,Universidad                                       
,,5,2015,"Computación, Sistemas e Informática",,Analista en Computación,22,"Facultad de Matemáticas, Astronomía y Física",,,27,Universidad Nacional de Córdoba,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,1,,2015,"Computación, Sistemas e Informática",1,Analista en Computación,1,Facultad de Informática,,4,1,Universidad Nacional de La Plata,4,3,Grado               ,,3,,Estatal                                           ,Universidad                                       
,43,5,2015,"Computación, Sistemas e Informática",34,Analista en Computación,13,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",76,267,18,Universidad Nacional de Río Cuarto,191,224,Pregrado            ,67,157,9,Estatal                                           ,Universidad                                       
,27,,2015,"Computación, Sistemas e Informática",27,Analista en Computación,15,Facultad de Informática,,117,15,Universidad Nacional del Comahue,117,90,Pregrado            ,,90,,Estatal                                           ,Universidad                                       
,1,1,2010,"Computación, Sistemas e Informática",1,Tecnicatura Universitaria en Programación y Operación de Computadoras,2,Facultad de Ciencias Económicas San Francisco,,4,3,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,4,3,Pregrado            ,,3,,Privada                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Programación y Operación de Computadoras,3,Facultad de Ciencias Económicas San Francisco,,7,5,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,7,7,Pregrado            ,,7,,Privada                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Analista en Informática,6,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",,,6,Universidad de Morón,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Analista en Informática,41,Facultad de Ingeniería y Ciencias Exactas,,,43,Universidad Argentina de la Empresa,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Analista en Informática,7,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",,,9,Universidad de Morón,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Analista en Informática,10,Facultad de Ingeniería,,,10,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Analista en Informática,7,Secretaria Académica,,,9,Universidad del CEMA,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,5,2012,"Computación, Sistemas e Informática",,Analista en Informática,25,Facultad de Ingeniería y Ciencias Exactas,,,30,Universidad Argentina de la Empresa,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2012,"Computación, Sistemas e Informática",,Analista en Informática,4,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",,,4,Universidad de Morón,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2012,"Computación, Sistemas e Informática",,Analista en Informática,11,Facultad de Ingeniería,,,13,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,1,2012,"Computación, Sistemas e Informática",,Analista en Informática,1,Secretaria Académica,,,2,Universidad del CEMA,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,3,2013,"Computación, Sistemas e Informática",,Analista en Informática,47,Facultad de Ingeniería y Ciencias Exactas,,,50,Universidad Argentina de la Empresa,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Analista en Informática,1,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",,,1,Universidad de Morón,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,12,2014,"Computación, Sistemas e Informática",,Analista en Informática,46,Facultad de Ingeniería y Ciencias Exactas,,,58,Universidad Argentina de la Empresa,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2014,"Computación, Sistemas e Informática",,Analista en Informática,4,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",,,6,Universidad de Morón,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2015,"Computación, Sistemas e Informática",,Analista en Informática,47,Facultad de Ingeniería y Ciencias Exactas,,,49,Universidad Argentina de la Empresa,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,2,2015,"Computación, Sistemas e Informática",,Analista en Informática,6,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",,,8,Universidad de Morón,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,11,,2012,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Software,,Facultad de Ingeniería y Ciencias Exactas,113,113,,Universidad Argentina de la Empresa,,102,Pregrado            ,102,,11,Privada                                           ,Universidad                                       
,8,,2013,"Computación, Sistemas e Informática",5,Tecnicatura Universitaria en Desarrollo de Software,3,Facultad de Ingeniería y Ciencias Exactas,54,112,3,Universidad Argentina de la Empresa,58,104,Pregrado            ,51,53,3,Privada                                           ,Universidad                                       
,,10,2013,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Software,39,Departamento de Ingeniería e Investigaciones Tecnológicas,,,49,Universidad Nacional de La Matanza,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,11,,2014,"Computación, Sistemas e Informática",6,Tecnicatura Universitaria en Desarrollo de Software,4,Facultad de Ingeniería y Ciencias Exactas,44,106,4,Universidad Argentina de la Empresa,62,95,Pregrado            ,39,56,5,Privada                                           ,Universidad                                       
,,6,2014,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Software,64,Departamento de Ingeniería e Investigaciones Tecnológicas,,,70,Universidad Nacional de La Matanza,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,12,,2015,"Computación, Sistemas e Informática",7,Tecnicatura Universitaria en Desarrollo de Software,,Facultad de Ingeniería y Ciencias Exactas,75,147,,Universidad Argentina de la Empresa,72,135,Pregrado            ,70,65,5,Privada                                           ,Universidad                                       
,,20,2015,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Software,84,Departamento de Ingeniería e Investigaciones Tecnológicas,,,104,Universidad Nacional de La Matanza,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,1,,2013,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Videojuegos,,Facultad de Tecnología Informática,15,15,,Universidad Abierta Interamericana,,14,Pregrado            ,14,,1,Privada                                           ,Universidad                                       
,,,2013,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Videojuegos,,Facultad de Ingeniería y Ciencias Exactas,31,32,,Universidad Argentina de la Empresa,1,32,Pregrado            ,31,1,,Privada                                           ,Universidad                                       
,1,,2014,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Videojuegos,,Facultad de Tecnología Informática,41,44,,Universidad Abierta Interamericana,3,43,Pregrado            ,40,3,1,Privada                                           ,Universidad                                       
,3,,2014,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Videojuegos,,Facultad de Ingeniería y Ciencias Exactas,46,57,,Universidad Argentina de la Empresa,11,54,Pregrado            ,43,11,3,Privada                                           ,Universidad                                       
,6,,2015,"Computación, Sistemas e Informática",1,Tecnicatura Universitaria en Desarrollo de Videojuegos,,Facultad de Tecnología Informática,30,59,,Universidad Abierta Interamericana,29,53,Pregrado            ,25,28,5,Privada                                           ,Universidad                                       
,1,,2015,"Computación, Sistemas e Informática",,Tecnicatura Universitaria en Desarrollo de Videojuegos,,Facultad de Ingeniería y Ciencias Exactas,38,76,,Universidad Argentina de la Empresa,38,75,Pregrado            ,37,38,1,Privada                                           ,Universidad                                       
,,11,2010,"Computación, Sistemas e Informática",,Analista en Sistemas Informáticos,69,Facultad de Tecnología Informática,,,80,Universidad Abierta Interamericana,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,16,2010,"Computación, Sistemas e Informática",,Analista en Sistemas Informáticos,45,Facultad de Tecnología Informática - Rosario,,,61,Universidad Abierta Interamericana,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Analista en Sistemas Informáticos,,Vicerrectorado de Asuntos Académicos,,1,,Universidad Blas Pascal,1,1,Pregrado            ,,1,,Privada                                           ,Universidad                                       
